Municipio,latitude,longitude
Guapirama,"-23,46803413","-50,07684901"
Guaporema,"-23,32515453","-52,82613297"
Guaraci,"-22,95671756","-51,67881061"
Guaraniaçu,"-25,05510785","-52,86334258"
Guarapuava,"-25,3713773","-51,49124305"
Guaraqueçaba,"-25,23409085","-48,36733435"
Guaratuba,"-25,81766337","-48,76861766"
Honório Serpa,"-26,16281124","-52,37267993"
Ibaiti,"-23,77827629","-50,28737226"
Ibema,"-25,15227628","-53,02412599"
Ibiporã,"-23,23631974","-51,03778897"
Icaraíma,"-23,37355661","-53,58563584"
Iguaraçu,"-23,22685811","-51,84694641"
Iguatu,"-24,68792848","-53,08687976"
Imbaú,"-24,4384476","-50,74174302"
Imbituva,"-25,22588704","-50,65544467"
Inácio Martins,"-25,63429626","-51,19743965"
Inajá,"-22,718754","-52,22530516"
Indianópolis,"-23,48681829","-52,67329595"
Ipiranga,"-24,98833986","-50,5856463"
Iporã,"-24,04513689","-53,71980375"
Iracema Do Oeste,"-24,43854324","-53,35177133"
Irati,"-25,48848117","-50,8255768"
Iretama,"-24,35224339","-52,11094089"
Itaguajé,"-22,65949841","-51,9678141"
Itaipulândia,"-25,1561016","-54,35827493"
Itambaracá,"-22,98274792","-50,41400776"
Itambé,"-23,70660332","-52,0082262"
Itapejara D'oeste,"-25,98618195","-52,82389435"
Itaperuçu,"-25,12486543","-49,49052089"
Itaúna Do Sul,"-22,72873092","-52,89844597"
Ivaí,"-24,98718232","-50,85983584"
Ivaiporã,"-24,28269989","-51,62892204"
Ivaté,"-23,35388651","-53,42426202"
Ivatuba,"-23,59905476","-52,17733413"
Jaboti,"-23,71812303","-50,07980258"
Jacarezinho,"-23,15059024","-49,94744782"
Jaguapitã,"-23,0652281","-51,55642791"
Jaguariaíva,"-24,33078057","-49,70516335"
Jandaia Do Sul,"-23,62788976","-51,6845795"
Janiópolis,"-24,12803829","-52,81125864"
Japira,"-23,73317368","-50,16299232"
Japurá,"-23,43882927","-52,54115824"
Jardim Alegre,"-24,20553394","-51,76735038"
Jardim Olinda,"-22,57384119","-52,07928102"
Jataizinho,"-23,25116189","-50,92426221"
Jesuítas,"-24,41368176","-53,41063349"
Joaquim Távora,"-23,45682816","-49,91035755"
Jundiaí Do Sul,"-23,47342222","-50,2320584"
Juranda,"-24,39749624","-52,83485051"
Jussara,"-23,63699038","-52,44779355"
Kaloré,"-23,85711266","-51,68992432"
Lapa,"-25,77055062","-49,87111341"
Laranjal,"-24,90216506","-52,49064931"
Laranjeiras Do Sul,"-25,34545874","-52,38181236"
Leópolis,"-23,02672691","-50,71129333"
Lidianópolis,"-24,08621111","-51,63897182"
Lindoeste,"-25,26138335","-53,55801871"
Loanda,"-22,94908904","-53,07115932"
Lobato,"-22,98172602","-51,98727437"
Londrina,"-23,51422748","-51,11044835"
Luiziana,"-24,34738031","-52,33077768"
Lunardelli,"-24,0801436","-51,77105649"
Lupionópolis,"-22,72799372","-51,66461007"
Mallet,"-25,88088965","-50,85844132"
Mamborê,"-24,36106726","-52,58904081"
Mandaguaçu,"-23,27868744","-52,05586648"
Mandaguari,"-23,48199591","-51,70670617"
Mandirituba,"-25,84235476","-49,3223237"
Manfrinópolis,"-26,0953854","-53,34526938"
Mangueirinha,"-26,03341581","-52,20927954"
Manoel Ribas,"-24,48914689","-51,64052965"
Marechal Cândido Rondon,"-24,57175934","-54,13674291"
Maria Helena,"-23,58236772","-53,22137375"
Marialva,"-23,53057325","-51,86778276"
Marilândia Do Sul,"-23,77325578","-51,28355837"
Marilena,"-22,73278668","-53,06455334"
Mariluz,"-24,05362383","-53,21068447"
Maringá,"-23,40093833","-51,96778228"
Mariópolis,"-26,33606999","-52,5807296"
Maripá,"-24,44484651","-53,79155601"
Marmeleiro,"-26,24654953","-53,09307131"
Marquinho,"-25,10061099","-52,25330842"
Marumbi,"-23,75434769","-51,65957633"
Matelândia,"-25,35101256","-53,90598507"
Matinhos,"-25,76174542","-48,55464398"
Mato Rico,"-24,70152298","-52,21204284"
Mauá Da Serra,"-23,91102952","-51,18021561"
Medianeira,"-25,2632339","-54,09184806"
Mercedes,"-24,43337254","-54,18621512"
Mirador,"-23,20242406","-52,74626938"
Miraselva,"-22,97311798","-51,4852166"
Missal,"-25,09553601","-54,24132615"
Moreira Sales,"-24,02447449","-53,00551419"
Morretes,"-25,51836307","-48,85604899"
Munhoz De Melo,"-23,13031066","-51,73493439"
Nossa Senhora Das Graças,"-22,91405999","-51,79801577"
Nova Aliança Do Ivaí,"-23,16953938","-52,61060059"
Nova América Da Colina,"-23,34533446","-50,70643591"
Nova Aurora,"-24,50275054","-53,27712967"
Nova Cantu,"-24,65930429","-52,55843076"
Nova Esperança,"-23,19135556","-52,25091035"
Nova Esperança Do Sudoeste,"-25,89850866","-53,25757915"
Nova Fátima,"-23,4184911","-50,53861299"
Nova Laranjeiras,"-25,22603099","-52,57488274"
Nova Londrina,"-22,78676227","-52,95487233"
Nova Olímpia,"-23,42670132","-53,07214071"
Nova Santa Bárbara,"-23,59359147","-50,7421289"
Nova Santa Rosa,"-24,44028231","-53,95870214"
Nova Prata Do Iguaçu,"-25,59083953","-53,37833657"
Nova Tebas,"-24,45995128","-51,94447137"
Novo Itacolomi,"-23,78091321","-51,53276245"
Ortigueira,"-24,13507778","-50,94695522"
Ourizona,"-23,45969539","-52,23131272"
Ouro Verde Do Oeste,"-24,79387382","-53,90959121"
Paiçandu,"-23,46503317","-52,12208901"
Palmas,"-26,45108622","-51,81446535"
Palmeira,"-25,44263842","-50,05782287"
Palmital,"-24,87574253","-52,26567096"
Palotina,"-24,27454183","-53,82409321"
Paraíso Do Norte,"-23,26803406","-52,63542056"
Paranacity,"-22,84732351","-52,1446358"
Paranaguá,"-25,52652912","-48,51769324"
Paranapoema,"-22,66046294","-52,10261101"
Paranavaí,"-22,92123261","-52,510562"
Pato Bragado,"-24,63421723","-54,24822892"
Pato Branco,"-26,16908263","-52,66325914"
Paula Freitas,"-26,17737257","-50,86084"
Paulo Frontin,"-26,06079341","-50,74872431"
Peabiru,"-23,9310636","-52,32702426"
Perobal,"-23,92300336","-53,36507769"
Pérola,"-23,830875","-53,70705056"
Pérola D'oeste,"-25,84988547","-53,75893207"
Piên,"-26,09071999","-49,45327462"
Pinhais,"-25,41982839","-49,15564507"
Pinhalão,"-23,9034772","-50,06133592"
Pinhal De São Bento,"-26,01598809","-53,47808116"
Pinhão,"-25,78547523","-51,63237873"
Piraí Do Sul,"-24,47471999","-49,92764456"
Piraquara,"-25,47241618","-49,05233116"
Pitanga,"-24,69109148","-51,78041377"
Pitangueiras,"-23,20912568","-51,57239585"
Planaltina Do Paraná,"-23,0915766","-52,93448102"
Planalto,"-25,73726625","-53,70779034"
Ponta Grossa,"-25,13971223","-50,08083403"
Pontal Do Paraná,"-25,63639441","-48,47460142"
Porecatu,"-22,74270571","-51,40994272"
Porto Amazonas,"-25,52970989","-49,89532373"
Porto Barreiro,"-25,58457445","-52,3821823"
Porto Rico,"-22,83306052","-53,3138011"
Porto Vitória,"-26,22772521","-51,2222548"
Prado Ferreira,"-23,02553714","-51,40055968"
Pranchita,"-25,96631106","-53,72115766"
Presidente Castelo Branco,"-23,2637398","-52,14936592"
Primeiro De Maio,"-22,86217685","-51,07406212"
Prudentópolis,"-25,13070694","-51,09794749"
Quarto Centenário,"-24,30311972","-53,15536744"
Quatiguá,"-23,56211508","-49,93187331"
Quatro Barras,"-25,36870483","-48,99437832"
Quatro Pontes,"-24,57177051","-53,97648883"
Quedas Do Iguaçu,"-25,45747344","-52,954972"
Querência Do Norte,"-23,04237791","-53,52134102"
Quinta Do Sol,"-23,82966372","-52,14035459"
Quitandinha,"-25,91049514","-49,4815004"
Ramilândia,"-25,09434592","-54,07605163"
Rancho Alegre,"-23,07992549","-50,91941337"
Rancho Alegre D'oeste,"-24,29054157","-52,96095274"
Realeza,"-25,67446475","-53,54355498"
Rebouças,"-25,65850655","-50,62092088"
Renascença,"-26,22506312","-52,95081104"
Reserva,"-24,59552601","-50,95652337"
Reserva Do Iguaçu,"-25,86769123","-51,96374987"
Ribeirão Claro,"-23,2616695","-49,76279367"
Ribeirão Do Pinhal,"-23,44825878","-50,37423006"
Rio Azul,"-25,72091529","-50,79263845"
Rio Bom,"-23,79742504","-51,43335877"
Rio Bonito Do Iguaçu,"-25,54662874","-52,60854548"
Rio Branco Do Ivaí,"-24,34651958","-51,33380226"
Rio Branco Do Sul,"-25,07644973","-49,34758048"
Rio Negro,"-26,09481011","-49,6833634"
Rolândia,"-23,27124928","-51,40920784"
Roncador,"-24,5658428","-52,26133469"
Rondon,"-23,47763116","-52,80462817"
Rosário Do Ivaí,"-24,31573504","-51,20343507"
Sabáudia,"-23,34864602","-51,58436693"
Salgado Filho,"-26,14130521","-53,41538808"
Salto Do Itararé,"-23,6306974","-49,68302003"
Salto Do Lontra,"-25,77541434","-53,28703329"
Santa Amélia,"-23,25904933","-50,41011817"
Santa Cecília Do Pavão,"-23,54444679","-50,79758892"
Santa Cruz De Monte Castelo,"-23,08498891","-53,36289259"
Santa Fé,"-23,06301224","-51,83880144"
Santa Helena,"-24,8889277","-54,30563723"
Santa Inês,"-22,71309263","-51,89786092"
Santa Isabel Do Ivaí,"-23,11453991","-53,24074264"
Santa Izabel Do Oeste,"-25,78378436","-53,42301995"
Santa Lúcia,"-25,38928526","-53,55370502"
Santa Maria Do Oeste,"-24,90918855","-51,92960912"
Santa Mariana,"-23,06069939","-50,53886871"
Santa Mônica,"-23,15436356","-53,10919316"
Santana Do Itararé,"-23,75075323","-49,63246683"
Santa Tereza Do Oeste,"-25,03654081","-53,60605014"
Santa Terezinha De Itaipu,"-25,45661632","-54,4274056"
Santo Antônio Da Platina,"-23,2966793","-50,0856355"
Santo Antônio Do Caiuá,"-22,69901769","-52,35617184"
Santo Antônio Do Paraíso,"-23,58060748","-50,63025115"
Santo Antônio Do Sudoeste,"-26,06663281","-53,63325568"
Santo Inácio,"-22,71875752","-51,80206152"
São Carlos Do Ivaí,"-23,34207448","-52,48049485"
São Jerônimo Da Serra,"-23,71625816","-50,77841061"
São João,"-25,77409112","-52,79303751"
São João Do Caiuá,"-22,83821767","-52,33057018"
