index,Ano,Chuva_Anahy,Chuva_Arapuã,Chuva_Ariranha do Ivaí,Chuva_Boa Esperança,Chuva_Boa Vista da Aparecida,Chuva_Campina da Lagoa,Chuva_Campo Mourão,Chuva_Capanema,Chuva_Capitão Leônidas Marques,Chuva_Céu Azul,Chuva_Corumbataí do Sul,Chuva_Cruzmaltina,Chuva_Diamante D'Oeste,Chuva_Entre Rios do Oeste,Chuva_Foz do Iguaçu,Chuva_Grandes Rios,Chuva_Iguatu,Chuva_Iracema do Oeste,Chuva_Itaipulândia,Chuva_Ivaiporã,Chuva_Juranda,Chuva_Lidianópolis,Chuva_Luiziana,Chuva_Manoel Ribas,Chuva_Marechal Cândido Rondon,Chuva_Marilândia do Sul,Chuva_Matelândia,Chuva_Medianeira,Chuva_Mercedes,Chuva_Missal,Chuva_Nova Aurora,Chuva_Ouro Verde do Oeste,Chuva_Pato Bragado,Chuva_Planalto,Chuva_Ramilândia,Chuva_Realeza,Chuva_Rio Branco do Ivaí,Chuva_Rosário do Ivaí,Chuva_Santa Helena,Chuva_Santa Lúcia,Chuva_Santa Terezinha de Itaipu,Chuva_São José das Palmeiras,Chuva_São Miguel do Iguaçu,Chuva_São Pedro do Iguaçu,Chuva_Serranópolis do Iguaçu,Chuva_Tupãssi,Chuva_Ubiratã,Chuva_Vera Cruz do Oeste
10,2001,49.906909165,38.34344530499999,41.776777804999995,40.84291136499999,70.36957086499999,52.87330844499999,48.835709425000005,65.04103882499999,65.97490526499999,68.22717138499999,46.336243365,51.609842085,104.09862934499999,105.691695625,80.25756846499999,40.623178085000006,56.526374224999984,52.70850848500001,79.543435305,39.99144490500001,37.601845484999984,54.246641444999995,71.138637345,49.54984258499999,91.68369902500001,58.943440304999996,80.806901665,65.97490526499999,69.87517098500001,93.44156526500001,47.709576365000004,72.347170385,102.835162985,79.873035225,96.29809790499999,47.81944300500001,42.16131104499999,61.635172985,99.319430505,78.609568865,80.25756846499999,119.095425705,68.61170462499999,77.730635745,65.09597214499999,54.988241265,54.38397474499999,76.357302745
11,2002,72.18237042499999,71.523170585,67.78770482499999,80.53223506500001,96.68263114499999,82.29010130500001,65.700238665,75.69810290499998,95.85863134499999,101.626629945,72.896503585,94.75996494500001,112.503427305,87.893299945,98.110897465,88.60743310499998,63.33810590499999,75.25863634499999,90.96956586499999,73.88530334500001,81.630901465,94.43036502499999,84.54236742500001,77.45596914500001,91.84849898499999,101.187163385,102.890096305,94.210631745,93.00209870500001,94.265565065,70.204770905,83.608500985,83.33383438499999,95.474098105,97.231964345,90.255432705,72.12743710499998,69.49063774499999,84.926900665,95.913564665,98.110897465,116.12902642499999,97.561564265,95.25436482500001,82.509834585,72.457037025,65.205838785,98.495430705
12,2003,59.547706825000006,65.755171985,86.79463354500001,71.74290386499999,102.121029825,67.34823826499999,80.861834985,86.30023366500001,88.003166585,95.25436482500001,48.36877620499999,88.22289986499999,111.624494185,95.034631545,98.330630745,107.724228465,57.460240664999986,60.426639945000005,102.999962945,85.14663394499999,62.953572664999996,79.982901865,65.91997194499999,79.433568665,87.34396674499999,68.99623786500001,100.473030225,118.546092505,81.96050138499999,111.67942750499999,64.05223906500001,84.432500785,92.56263214500001,89.376499585,114.151426905,96.29809790499999,108.383428305,95.199431505,99.319430505,110.470894465,98.330630745,94.32049838500001,113.162627145,100.582896865,92.12316558500001,67.952504785,58.998373625,120.194092105
13,2004,63.17330594500001,60.48157326500001,58.44904042499999,73.50077010499999,97.726364225,65.91997194499999,95.80369802499999,132.169555865,81.13650158499999,97.891164185,90.255432705,65.86503862500001,84.762100705,92.782365425,78.38983558499999,68.55677130499998,65.37063874500001,69.270904465,75.64316958500001,54.988241265,71.19357066500001,62.45917278499999,78.664502185,63.008505985,64.711438905,79.81810190499999,90.694899265,86.574900265,71.79783718499999,86.629833585,62.514106104999996,93.771165185,79.76316858499999,136.454354825,100.033563665,85.47623386500001,60.59143990499999,64.436772305,88.442633145,88.058099905,78.38983558499999,87.28903342499999,77.346102505,97.616497585,65.260772105,67.34823826499999,66.35943850499999,115.030360025
14,2005,57.625040625,99.539163785,102.505563065,81.85063474500001,125.247957545,71.35837062499999,70.699170785,120.633558665,139.640487385,115.799426505,47.68210970499999,55.207974544999985,63.008505985,60.15197334499999,95.199431505,56.691174184999994,65.205838785,56.526374224999984,83.38876770499999,89.87089946500001,70.25970422500001,59.492773505,92.72743210499999,121.842091705,88.058099905,55.372774504999995,103.494362825,106.625562065,97.671430905,77.01650258500001,58.174373825,92.507698825,67.952504785,117.227692825,70.42450418499999,98.385564065,100.857563465,107.394628545,57.57010730499999,112.283694025,95.199431505,71.30343730499999,90.03569942499999,87.618633345,101.187163385,71.79783718499999,72.07250378500001,87.508766705
15,2006,75.36850298499999,57.295440705000004,58.174373825,82.29010130500001,78.93916878499999,62.569039425,78.93916878499999,73.39090346500001,69.54557106499999,71.578103905,53.83464154500001,49.192776004999985,78.609568865,65.205838785,55.56504112499999,50.12664244499999,76.24743610499999,72.347170385,62.184506185000004,71.523170585,89.321566265,63.832505784999995,76.96156926500001,60.261839984999995,75.36850298499999,72.56690366499998,60.866106505000005,73.610636745,84.762100705,74.81916978499999,69.93010430499999,97.067164385,61.08583978499999,75.148769705,86.79463354500001,69.49063774499999,51.884508684999986,50.511175684999984,67.18343830500001,70.31463754500001,55.56504112499999,77.07143590499999,64.271972345,90.255432705,74.32476990500001,104.263429305,62.514106104999996,97.726364225
16,2007,96.957297745,109.097561465,117.777026025,92.67249878499999,98.055964145,65.42557206500001,101.846363225,91.189299145,94.210631745,120.743425305,87.23410010500001,86.080500385,88.60743310499998,84.10290086500001,74.159969945,70.75410410500001,76.796769305,61.52530634499999,82.29010130500001,120.633558665,91.189299145,110.800494385,115.799426505,122.830891465,80.69703502499999,103.823962745,100.857563465,113.711960345,76.96156926500001,93.55143190499999,82.01543470499999,77.51090246499999,69.49063774499999,99.374363825,99.099697225,96.792497785,73.610636745,77.236235865,93.60636522499999,93.11196534499999,74.159969945,94.04583178499999,80.861834985,99.978630345,83.004234465,103.549296145,74.43463654499999,106.131162185
17,2008,88.827166385,59.71250678499999,62.184506185000004,55.372774504999995,74.105036625,83.38876770499999,48.149042925,58.44904042499999,83.553567665,79.70823526499998,53.175441705,84.26770082499999,85.641033825,89.321566265,60.866106505000005,79.81810190499999,88.332766505,62.67890606500001,72.896503585,61.195706425,56.58130754499999,79.26876870499999,50.675975644999994,74.92903642499999,93.49649858500001,67.78770482499999,51.00557556499999,64.54663894499998,91.73863234499998,93.221831985,87.78343330499999,97.616497585,92.947165385,67.513038225,85.86076710500001,69.49063774499999,69.161037825,62.89863934499999,80.861834985,78.44476890499999,60.866106505000005,86.190367025,61.85490626500001,87.618633345,50.20904242500001,100.143430305,87.72849998499998,88.60743310499998
18,2009,128.21435682499998,88.66236642499999,89.87089946500001,106.405828785,87.67356666500001,114.041560265,84.26770082499999,101.022363425,89.321566265,96.13329794500001,82.01543470499999,98.550364025,111.130094305,85.91570042500001,107.394628545,85.366367225,121.951958345,110.745561065,77.56583578499999,89.321566265,99.484230465,110.635694425,93.49649858500001,108.603161585,109.811694625,77.12636922499999,80.312501785,90.47516598499999,95.034631545,102.999962945,111.23996094499999,120.743425305,94.86983158499999,91.35409910499999,116.678359625,80.861834985,77.181302545,74.48956986499999,88.937033025,95.80369802499999,107.394628545,95.034631545,96.57276450500001,112.723160585,84.15783418499998,106.021295545,121.842091705,114.700760105
19,2010,97.177031025,60.20690666499999,48.396242865000005,80.97170162500001,69.98503762499999,89.761032825,61.909839584999986,87.069300145,62.67890606500001,87.124233465,55.812241064999995,57.51517398499999,62.01970622499999,62.514106104999996,78.170102305,54.329041424999986,99.923697025,85.366367225,80.64210170499999,51.25277550499999,82.89436782499999,58.00957386499999,86.519966945,61.79997294500001,57.02077410499999,47.270109805000004,90.03569942499999,85.366367225,61.79997294500001,70.204770905,86.79463354500001,72.457037025,59.547706825000006,85.03676730500001,64.436772305,69.49063774499999,50.978108905,46.308776704999985,68.99623786500001,77.785569065,78.170102305,70.644237465,81.630901465,87.893299945,90.585032625,98.660230665,101.242096705,74.26983658500001
